ROI_label;x18_Networks_name;x18_Networks_index;x9_Networks_name;x9_Networks_index;hemisphere;x;y;z;R;G;B;R7;G7;B7
SalVentAttnA_Ins_1;SalVentAttnA;7;SalVentAttn;4;RH;40.0604772404472;24.2805775769078;-34.6136096436274;0.78039;0.22745;0.98431;201;58;254
SalVentAttnA_Ins_2;SalVentAttnA;7;SalVentAttn;4;RH;45.0715626001696;14.4480646092442;-23.5840985521364;0.78039;0.22745;0.98824;201;59;251
SalVentAttnA_FrOper_1;SalVentAttnA;7;SalVentAttn;4;RH;42.1838238039706;26.7845979897150;-15.9136332978760;0.78039;0.22745;0.99216;201;59;252
SalVentAttnA_FrMed_1;SalVentAttnA;7;SalVentAttn;4;RH;6.20887504824970;28.5036149898001;20.2606726804691;0.78039;0.22353;0.98431;201;59;253
SalVentAttnA_ParMed_1;SalVentAttnA;7;SalVentAttn;4;RH;8.27705111279450;6.79165641173397;21.7710591209978;0.78039;0.22353;0.98824;201;59;254
SalVentAttnA_ParMed_2;SalVentAttnA;7;SalVentAttn;4;RH;10.5420953125807;-14.8771281762224;26.2649886982415;0.78039;0.22353;0.99216;201;59;255
SalVentAttnA_FrMed_2;SalVentAttnA;7;SalVentAttn;4;RH;8.37870276990935;23.5633818555754;44.7728472681633;0.78039;0.22353;0.99608;200;57;250
SalVentAttnB_IPL_1;SalVentAttnB;8;SalVentAttn;4;RH;61.0211382344045;-18.0562827017948;20.5635515353096;0.98039;0.59608;0.83922;200;57;251
SalVentAttnB_PFClv_1;SalVentAttnB;8;SalVentAttn;4;RH;43.5355023294521;64.2023688037893;-10.4176990932060;0.98039;0.59216;0.83922;200;57;252
SalVentAttnB_PFCl_1;SalVentAttnB;8;SalVentAttn;4;RH;31.5365925061990;66.6122664781623;6.46751817035715;0.98039;0.59216;0.84314;201;58;252
SalVentAttnB_Ins_1;SalVentAttnB;8;SalVentAttn;4;RH;32.0003400786091;41.0171201822669;-27.4986249275796;0.98039;0.59608;0.84314;201;58;253
SalVentAttnB_Ins_2;SalVentAttnB;8;SalVentAttn;4;RH;33.7346722763348;43.1295951798590;-13.6807594892507;0.98039;0.59608;0.84706;201;58;254
SalVentAttnB_PFCmp_1;SalVentAttnB;8;SalVentAttn;4;RH;6.86662339368762;48.3599460311169;9.12069325423862;0.98039;0.6;0.83922;201;59;251
LimbicB_OFC_1;LimbicB;9;Limbic;5;RH;10.8550671932166;58.2618475544852;-41.7301594265576;0.49412;0.52941;0.20392;224;249;165
LimbicB_OFC_2;LimbicB;9;Limbic;5;RH;27.7482558839134;42.1041524373156;-38.6503927453890;0.49412;0.52941;0.20784;224;249;166
