ROI_label;x18_Networks_name;x18_Networks_index;x9_Networks_name;x9_Networks_index;hemisphere;x;y;z
SomMotA_2;RH_SomMotA;6;RH_SomMot;4;RH;46.0956438712021;7.46282457827250;25.3798149056795
SomMotA_3;RH_SomMotA;6;RH_SomMot;4;RH;6.02796716183809;10.7770284522724;30.6038524050570
SomMotA_4;RH_SomMotA;6;RH_SomMot;4;RH;40.0081896587479;-3.16064917020125;35.0097752231399
SomMotA_5;RH_SomMotA;6;RH_SomMot;4;RH;34.7080513461614;-19.1908296858589;37.6507897814262
SomMotA_6;RH_SomMotA;6;RH_SomMot;4;RH;32.3057857094025;-1.54939771864072;42.0657253142236
SomMotA_7;RH_SomMotA;6;RH_SomMot;4;RH;31.3269396587479;-14.5375188283209;43.3952853727125
SomMotA_8;RH_SomMotA;6;RH_SomMot;4;RH;23.2818383073965;9.73472216267008;44.8094041790188
SomMotA_9;RH_SomMotA;6;RH_SomMot;4;RH;10.3061098386242;-21.9370937299510;49.3353245450003
SomMotA_10;RH_SomMotA;6;RH_SomMot;4;RH;5.24120524355645;-4.89154837136827;45.8135221048203
SomMotA_11;RH_SomMotA;6;RH_SomMot;4;RH;19.6001436817364;-10.9396637380089;47.0404028809227
SomMotB_Aud_1;RH_SomMotB;8;RH_SomMot;4;RH;50.9969598586931;3.11029170304036;-13.6904706701525
SomMotB_Aud_2;RH_SomMotB;8;RH_SomMot;4;RH;63.7930800855068;-6.70141012013175;-10.5934635459726
SomMotB_S2_1;RH_SomMotB;8;RH_SomMot;4;RH;37.0672913135942;4.97634543487847;-5.67147364028985
SomMotB_S2_2;RH_SomMotB;8;RH_SomMot;4;RH;42.0160327960028;-9.73728734683942;-1.11818480702605
SomMotB_S2_3;RH_SomMotB;8;RH_SomMot;4;RH;58.5770577670666;20.1599960265398;-9.28314433457368
SomMotB_S2_4;RH_SomMotB;8;RH_SomMot;4;RH;53.4540167700802;6.35163103894307;-5.04045094925530
